"study","tot","updated_date","submission_center","submission_lab","platform","instrument_model","platform_parameters","study_title","study_url_link","study_alias","submission_date","study_abstract","study_description","year"
"ERP001333",0,"2016-06-28","TEAGASC","454 Sequencing","LS454","454 GS FLX","INSTRUMENT_MODEL: 454 GS FLX","Effect of short- medium- and long-term feeding of genetically modified                 maize to pigs on intestinal microbiota",NA,"5822",NA,"The Effect of Feeding Bt MON810 Maize to Pigs for 110 Days on Intestinal                 MicrobiotaAbstract: Objective: To assess the effects of feeding Bt MON810 maize to                 pigs for 110 days on the intestinal microbiota. Methodology/Principal findings:                 Forty male pigs (~40 days old) were blocked by weight and litter ancestry and                 assigned to one of four treatments; 1) Isogenic maize-based diet for 110 days                 (Isogenic); 2) Bt maize-based diet (MON810) for 110 days (Bt); 3) Isogenic                 maize-based diet for 30 days followed by a Bt maize-based diet for 80 days                 (Isogenic/Bt); 4) Bt maize-based diet for 30 days followed by an isogenic                 maize-based diet for 80 days (Bt/Isogenic). Using culture-based methods,                 Enterobacteriaceae, Lactobacillus and total anaerobes were enumerated in the feces                 on days 0, 30, 60 and 100 of the study and in ileal and cecal digesta on day 110. No                 differences were found between treatments for any of these counts at any time point.                 The relative abundance of cecal bacteria was also determined using high-throughput                 16S rRNA gene sequencing. No differences were observed in any bacterial taxa between                 treatments, with the exception of the genus Holdemania which was more abundant in                 the cecum of pigs fed the isogenic/Bt treatment compared to pigs fed the Bt                 treatment (0.012 vs 0.003%; P = 0.05). Conclusions/Significance: Feeding pigs a Bt                 maize-based diet for 110 days did not affect counts of any of the culturable                 bacteria enumerated in the feces, ileum or cecum. Neither did it influence the                 composition of the cecal microbiota with the exception of a minor increase in the                 genus Holdemania. As the role of Holdemania in the intestine is still under                 investigation and no health abnormalities were observed, this change is not likely                 to be of clinical significance. These results indicate that feeding of Bt maize to                 pigs in the context of its influence on the porcine intestinal microbiota is safe.",NA,"2016"
"ERP001335",0,"2016-06-28","TEAGASC","454 Sequencing","LS454","454 GS FLX","INSTRUMENT_MODEL: 454 GS FLX","Effect of short- medium- and long-term feeding of genetically modified                 maize to pigs on intestinal microbiota",NA,"short",NA,"High throughput sequence-based analysis of the intestinal microbiota of                 weanling pigs fed genetically modified Bt MON810 maize for 31 days. Abstract: The                 objective of this study was to investigate if feeding genetically modified (GM) Bt                 maize had any effects on the porcine intestinal microbiota. Eighteen pigs were                 weaned at ~28 days, and following a 6 day acclimatization period, were assigned to                 diets containing either GM (Bt MON810) or non-GM isogenic parent line maize for 31                 days. Effects on the porcine intestinal microbiota were assessed through                 culture-dependent and -independent approaches. Fecal, cecal and ileal counts of                 total anaerobes, Enterobacteriaceae and Lactobacillus were not significantly                 different between pigs fed the isogenic or Bt maize-based diets. Furthermore,                 high-throughput 16S rRNA gene sequencing revealed few differences in the composition                 of the cecal microbiota. The only differences that were observed were that pigs fed                 the Bt maize-based diet had higher abundance of cecal Enterobacteriaceae (0.007 vs                 0.001; P <0.05), Helicobacteraceae (0.002 vs 0.0004; P gt;0.05), Helicobacter                 (0.002 vs 0.0004; P <0.05) and Bacteroides (0.001 vs 0.0005; P <0.05) compared                 to pigs fed the isogenic maize-based diet. Bt maize-fed pigs also had lower                 abundance of fibre-fermenting bacteria (Prevotella, Ruminococcus, Eubacterium,                 Faecalibacterium, Fibrobacter, Clostridium, Bacteroides and Butyrivibrio) when these                 were analyzed as a group (0.13 vs 0.22; P <0.05). A lower concentration of enzyme                 resistant starch in the Bt maize may account for some of the differences in                 taxonomic distribution observed within the cecal microbiota. Overall, these results                 indicate that Bt maize is well tolerated at the level of the porcine intestinal                 microbiota and provide additional data for safety assessment of Bt maize.                 680.",NA,"2016"
"ERP002347",0,"2016-06-28","Centre for Research in Agrigenomics","ArrayExpress","LS454","454 GS 20","INSTRUMENT_MODEL: 454 GS 20","MON810 20DAP embryos","E-MTAB-1555 in ArrayExpress: http://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1555","E-MTAB-1555",NA,"Transcriptomic comparison between MON810 maize embryos and near-isogenic varieties","Transcriptomic comparison between MON810 maize embryos and near-isogenic varieties","2016"
"ERP003609",0,"2016-06-28","CNB/CSIC","Scientific Computing","LS454","454 GS FLX Titanium","INSTRUMENT_MODEL: 454 GS FLX Titanium","Effect of various herbicide combinations on maize rhizobacterial community.",NA,"ena-STUDY-CNB/CSIC-15-07-2013-15:16:28:836-120",NA,"Various subplots in a field where treated with different herbicide combinations. Samples were taken shortly after emergence and late before harvest. Rhizobacteria from the samples were sequenced using 454 Titanium for community analysis.","Various subplots in a field where treated with different herbicide combinations. Samples were taken shortly after emergence and late before harvest. Rhizobacteria from the samples were sequenced using 454 Titanium for community analysis.","2016"
"ERP007248",0,"2016-06-28","AUSTRIAN INSTITUTE OF TECHNOLOGY",NA,"LS454","454 GS FLX","INSTRUMENT_MODEL: 454 GS FLX","Genome differences in closely related Pantoea ananatis seed endophytes strains having different effects on the host plant",NA,"ena-STUDY-AUSTRIAN INSTITUTE OF TECHNOLOGY-13-10-2014-10:52:58:453-242",NA,"The seed as a habitat for microorganisms is yet under-explored and has quite distinct characteristics as compared to other vegetative plant tissues. In this study, we investigated three closely related P. ananatis strains (named S6, S7 and S8), which were isolated from maize seeds of healthy plants. Plant inoculation experiments revealed that each of these strains exhibited a different phenotype ranging from pathogenic (S7), commensal (S8) to a beneficial, growth-promoting effect (S6) in maize. We performed a comparative genomics analysis in order to find genetic determinants responsible for the differences observed. Recent studies provided exciting insight into the genetic drivers of niche adaption and functional diversification of the genus Pantoea, however we report here for the first time on the analysis of P. ananatis strains colonizing the same ecological niche but showing distinct interaction strategies with the host plant.  Our comparative analysis revealed that genomes of these three strains are highly similar. However, genomic differences in genes encoding protein secretion systems and putative effectors, and transposase/integrases/phage related genes could be observed that indicate molecular mechanisms for the different phenotypes.","The seed as a habitat for microorganisms is yet under-explored and has quite distinct characteristics as compared to other vegetative plant tissues. In this study, we investigated three closely related P. ananatis strains (named S6, S7 and S8), which were isolated from maize seeds of healthy plants. Plant inoculation experiments revealed that each of these strains exhibited a different phenotype ranging from pathogenic (S7), commensal (S8) to a beneficial, growth-promoting effect (S6) in maize. We performed a comparative genomics analysis in order to find genetic determinants responsible for the differences observed. Recent studies provided exciting insight into the genetic drivers of niche adaption and functional diversification of the genus Pantoea, however we report here for the first time on the analysis of P. ananatis strains colonizing the same ecological niche but showing distinct interaction strategies with the host plant.  Our comparative analysis revealed that genomes of these three strains are highly similar. However, genomic differences in genes encoding protein secretion systems and putative effectors, and transposase/integrases/phage related genes could be observed that indicate molecular mechanisms for the different phenotypes.","2016"
"ERP007249",0,"2016-06-28","AUSTRIAN INSTITUTE OF TECHNOLOGY",NA,"LS454","454 GS FLX","INSTRUMENT_MODEL: 454 GS FLX","Genome differences in closely related Pantoea ananatis seed endophytes strains having different effects on the host plant",NA,"ena-STUDY-AUSTRIAN INSTITUTE OF TECHNOLOGY-13-10-2014-10:55:57:240-244",NA,"The seed as a habitat for microorganisms is yet under-explored and has quite distinct characteristics as compared to other vegetative plant tissues. In this study, we investigated three closely related P. ananatis strains (named S6, S7 and S8), which were isolated from maize seeds of healthy plants. Plant inoculation experiments revealed that each of these strains exhibited a different phenotype ranging from pathogenic (S7), commensal (S8) to a beneficial, growth-promoting effect (S6) in maize. We performed a comparative genomics analysis in order to find genetic determinants responsible for the differences observed. Recent studies provided exciting insight into the genetic drivers of niche adaption and functional diversification of the genus Pantoea, however we report here for the first time on the analysis of P. ananatis strains colonizing the same ecological niche but showing distinct interaction strategies with the host plant.  Our comparative analysis revealed that genomes of these three strains are highly similar. However, genomic differences in genes encoding protein secretion systems and putative effectors, and transposase/integrases/phage related genes could be observed that indicate molecular mechanisms for the different phenotypes.","The seed as a habitat for microorganisms is yet under-explored and has quite distinct characteristics as compared to other vegetative plant tissues. In this study, we investigated three closely related P. ananatis strains (named S6, S7 and S8), which were isolated from maize seeds of healthy plants. Plant inoculation experiments revealed that each of these strains exhibited a different phenotype ranging from pathogenic (S7), commensal (S8) to a beneficial, growth-promoting effect (S6) in maize. We performed a comparative genomics analysis in order to find genetic determinants responsible for the differences observed. Recent studies provided exciting insight into the genetic drivers of niche adaption and functional diversification of the genus Pantoea, however we report here for the first time on the analysis of P. ananatis strains colonizing the same ecological niche but showing distinct interaction strategies with the host plant.  Our comparative analysis revealed that genomes of these three strains are highly similar. However, genomic differences in genes encoding protein secretion systems and putative effectors, and transposase/integrases/phage related genes could be observed that indicate molecular mechanisms for the different phenotypes.","2016"
"ERP007250",0,"2016-06-28","AUSTRIAN INSTITUTE OF TECHNOLOGY",NA,"LS454","454 GS FLX","INSTRUMENT_MODEL: 454 GS FLX","Genome differences in closely related Pantoea ananatis seed endophytes strains having different effects on the host plant",NA,"ena-STUDY-AUSTRIAN INSTITUTE OF TECHNOLOGY-13-10-2014-10:57:41:311-246",NA,"The seed as a habitat for microorganisms is yet under-explored and has quite distinct characteristics as compared to other vegetative plant tissues. In this study, we investigated three closely related P. ananatis strains (named S6, S7 and S8), which were isolated from maize seeds of healthy plants. Plant inoculation experiments revealed that each of these strains exhibited a different phenotype ranging from pathogenic (S7), commensal (S8) to a beneficial, growth-promoting effect (S6) in maize. We performed a comparative genomics analysis in order to find genetic determinants responsible for the differences observed. Recent studies provided exciting insight into the genetic drivers of niche adaption and functional diversification of the genus Pantoea, however we report here for the first time on the analysis of P. ananatis strains colonizing the same ecological niche but showing distinct interaction strategies with the host plant.  Our comparative analysis revealed that genomes of these three strains are highly similar. However, genomic differences in genes encoding protein secretion systems and putative effectors, and transposase/integrases/phage related genes could be observed that indicate molecular mechanisms for the different phenotypes.","The seed as a habitat for microorganisms is yet under-explored and has quite distinct characteristics as compared to other vegetative plant tissues. In this study, we investigated three closely related P. ananatis strains (named S6, S7 and S8), which were isolated from maize seeds of healthy plants. Plant inoculation experiments revealed that each of these strains exhibited a different phenotype ranging from pathogenic (S7), commensal (S8) to a beneficial, growth-promoting effect (S6) in maize. We performed a comparative genomics analysis in order to find genetic determinants responsible for the differences observed. Recent studies provided exciting insight into the genetic drivers of niche adaption and functional diversification of the genus Pantoea, however we report here for the first time on the analysis of P. ananatis strains colonizing the same ecological niche but showing distinct interaction strategies with the host plant.  Our comparative analysis revealed that genomes of these three strains are highly similar. However, genomic differences in genes encoding protein secretion systems and putative effectors, and transposase/integrases/phage related genes could be observed that indicate molecular mechanisms for the different phenotypes.","2016"
"SRP056600",0,"2016-03-26","University of Wisconsin-Madison","Jackson","LS454","454 GS Junior","INSTRUMENT_MODEL: 454 GS Junior","Agricultural/grassland soil Targeted loci environmental","Catalog containing environmental data from the soils sampled in this study: http://data.sustainability.glbrc.org/","PRJNA279094",NA,"This study analyzes changes to the bacterial community of continuous corn and restored prairie cropping systems 2-4 years after these systems were established in a field with a common agricultural history. The study analyzes the V6-8 16S region and a segment of the nitrous oxide reductase (nosZ) gene. The aim of the study is to track changes to both nosZ-containing denitrifiers and the general bacterial community shortly after establishment of two land uses with sharply distinct associated microbiomes. These data may provide insight into how bacterially-mediated processes might be expected to shift shortly after a significant land use change event.",NA,"2016"
"SRP059013",0,"2016-06-06","University of Szeged Faculty of Science and Inform","Department of Biotechnology","ION_TORRENT","Ion Torrent PGM","INSTRUMENT_MODEL: Ion Torrent PGM","Anaerobe digester microbial community Metagenome",NA,"PRJNA285742",NA,"Anaerob digestion of Scenedesmus obliquus microalgal biomass anaerob digestion in an experimental CSTR biogas reactor.",NA,"2016"
"SRP059857",0,"2016-06-23","Shandong University","State Key Laboratory of Microbial Technology","LS454","454 GS FLX Titanium","INSTRUMENT_MODEL: 454 GS FLX Titanium","compost Raw sequence reads",NA,"PRJNA287780",NA,"the microbial community composition and function of self-heated maize straw composts were compared",NA,"2016"
"SRP059979",0,"2016-06-29","Shandong University","State Key Laboratory of Microbial Technology","LS454","454 GS FLX Titanium","INSTRUMENT_MODEL: 454 GS FLX Titanium","compost bacteria Metagenome",NA,"PRJNA288410",NA,"metagenome of compost bacteria",NA,"2016"
"SRP059982",0,"2016-06-29","Shandong University","State Key Laboratory of Microbial Technology","LS454","454 GS FLX Titanium","INSTRUMENT_MODEL: 454 GS FLX Titanium","metagenome of compost fungal community Metagenome",NA,"PRJNA288412",NA,"metagenome of compost fungal community",NA,"2016"
"SRP068394",0,"2016-01-16","Anhui Science and Technology University","Key Laboratory of Bio-organic Fertilizer Creation,","ILLUMINA","Illumina MiSeq","INSTRUMENT_MODEL: Illumina MiSeq","soil microbe Raw sequence reads",NA,"PRJNA308339",NA,"we investigated the influence of organic matter addition on soil microbial community and assess that which of soil microbes is positive correlation to yields of maize by high-throughput sequencing of soil microbial metagenomic analyses.",NA,"2016"
"SRP068437",0,"2016-01-14","Anhui Science and Technology University","Key Laboratory of Bio-organic Fertilizer Creation,","ILLUMINA","Illumina MiSeq","INSTRUMENT_MODEL: Illumina MiSeq","WheatChopped+NPK.Plot.fungi Raw sequence reads",NA,"PRJNA308766",NA,"maize soil fungi",NA,"2016"
"SRP068519",0,"2016-08-06","CINVESTAV","Biotecnologia","LS454","454 GS FLX Titanium","INSTRUMENT_MODEL: 454 GS FLX Titanium","saline alkaline soil flooded to reduce salinity Raw sequence reads",NA,"PRJNA308500",NA,"the goals of this research are to determine which bacterial species prevale after salinity and alkalinity decrease after flooding the soil gradually.",NA,"2016"
"SRP073893",0,"2016-05-01","Julius Kuehn-Institut","Epidemiology and Pathogen Diagnostics","LS454","454 GS FLX Titanium","INSTRUMENT_MODEL: 454 GS FLX Titanium","arable soils Grossbeeren/Kleinwanzleben Targeted loci",NA,"PRJNA319487",NA,"The objective of this study was to investigate putative effects of the antifungal biocontrol strain RU47 on fungal communities in three arable soils. Effekt size was related to natural variation due to site (soil LL in Kleinwanzleben vs. Grossbeeren) or block (three soils in separated blocks at the same site, Grossbeeren).",NA,"2016"
"SRP077366",0,"2016-06-28","ISSCAS",NA,"ILLUMINA","Illumina MiSeq","INSTRUMENT_MODEL: Illumina MiSeq","soil metagenome Raw sequence reads",NA,"PRJNA326806",NA,"To evaluate influences of FeONPs on soil AM fungal community structure",NA,"2016"
"ERP008939",0,"2015-12-31","ULM UNIVERSITY","European Nucleotide Archive","LS454","454 GS FLX+","INSTRUMENT_MODEL: 454 GS FLX+","Functional redundant and similar microbial communities within biogas reactors treating maize silage in co-fermentation with sugar beet silage",NA,"ena-STUDY-ULM UNIVERSITY-07-12-2014-15:21:18:056-28",NA,"Numerous observations indicate a high flexibility of microbial communities in different biogas reactors during anaerobic digestion. Here we describe our findings regarding the functional redundancy and similarity of involved microorganisms in four continuously-stirred tank lab-scale biogas reactors (CSTRs, 39 Ã‚Â°C, 12 L volume) supplied with different mixtures of sugar beet silage (SBS) and maize silage (MS) resulting in similar biogas yields in all reactors. CSTRs were set-up with inoculum from a full-scale biogas plant, fed with mixtures of MS and SBS in the ratios of 1:0 (CF1), 6:1 (CF2), 3:1 (CF3), 1:3 (CF4) with equal organic loading rates (OLR 1.25 kg VS m-3 d-1) and operated for 140 d. The compositions of bacterial and archaeal communities degrading the different substrate mixtures were analyzed by 454 amplicon sequencing approach based on 16S rRNA genes. Both bacterial and archaeal communities shifted with increasing amounts of SBS. As the compositional shifts within the microbial communities did not influence the respective biogas production, similar process dynamics indicate functional redundant archaeal and functional similar bacterial communities in each individual CSTR.","Numerous observations indicate a high flexibility of microbial communities in different biogas reactors during anaerobic digestion. Here we describe our findings regarding the functional redundancy and similarity of involved microorganisms in four continuously-stirred tank lab-scale biogas reactors (CSTRs, 39 Ã‚Â°C, 12 L volume) supplied with different mixtures of sugar beet silage (SBS) and maize silage (MS) resulting in similar biogas yields in all reactors. CSTRs were set-up with inoculum from a full-scale biogas plant, fed with mixtures of MS and SBS in the ratios of 1:0 (CF1), 6:1 (CF2), 3:1 (CF3), 1:3 (CF4) with equal organic loading rates (OLR 1.25 kg VS m-3 d-1) and operated for 140 d. The compositions of bacterial and archaeal communities degrading the different substrate mixtures were analyzed by 454 amplicon sequencing approach based on 16S rRNA genes. Both bacterial and archaeal communities shifted with increasing amounts of SBS. As the compositional shifts within the microbial communities did not influence the respective biogas production, similar process dynamics indicate functional redundant archaeal and functional similar bacterial communities in each individual CSTR.","2015"
"ERP010546",0,"2015-10-22","INRA (INRA de Reims)","European Nucleotide Archive","LS454","454 GS","INSTRUMENT_MODEL: 454 GS","Soil microfoodweb structure and functions exhibit contrasted dynamics according to the quality of the litter added",NA,"ena-STUDY-INRA (INRA de Reims)-22-05-2015-13:51:17:100-196",NA,"16S and 18S pyrosequencing have been performed on the 0-5 cm layer of soil columns in a 91 days incubation experiment. The following treatment were tested: bare soil (Control), soil with incorporation of maize leaves (Leaves), soil with maize roots (Roots), soil with maize leaves and earthworms (Leaves + Lt) and soil with maize roots and earthworms (Roots + Lt). Measures were performed before the start of the experiment (Day 0) and 15, 35 and 91 days after the beginning of the experiment","16S and 18S pyrosequencing have been performed on the 0-5 cm layer of soil columns in a 91 days incubation experiment. The following treatment were tested: bare soil (Control), soil with incorporation of maize leaves (Leaves), soil with maize roots (Roots), soil with maize leaves and earthworms (Leaves + Lt) and soil with maize roots and earthworms (Roots + Lt). Measures were performed before the start of the experiment (Day 0) and 15, 35 and 91 days after the beginning of the experiment","2015"
"SRP018730",0,"2015-09-03","Universita Cattolica del Sacro Cuore","Agricultural and Environmental Chemistry","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Soil microbial diversity patterns of a lowland spring environment.",NA,"PRJNA178511","2013-02-19","The Po river plain lowland springs comprise unique paradigms of managed environments. Their current locations used to be swamps that were drained 6-7 centuries ago, and had constant use ever since. Our aims were to identify the land use effects on the microbial communities of these soils, seek for associated diversity drivers and assess the applicability of ecology theories with respect to identified patterns. We screened the microbial diversity across a land use transect via high throughput sequencing of partial 16S rRNA gene amplicons. Land use had a major effect on soil properties and microbial community structures. Total organic carbon (TOC) and pH were major diversity drivers for Bacteria, while pH was important for Archaea. We identified the potential contribution of soil amendments to the indigenous microbial communities, and also gained insights about potential roles of taxa in the organic carbon turnover. Verrucomicrobia, coincided with the higher values of the recalcitrant organic carbon while Actinobacteria and Acidobacteria correlated with the more labile organic carbon. Finally, the higher diversity found in the less enzymatically active and relatively poorer in nutrients soils, may be explained to an extend by niche based theories like the resource heterogeneity hypothesis and Connell's intermediate disturbance hypothesis. Multiplexed 16S rRNA gene amplicons from soil DNA extracts of samples derived from three soils (each in biological triplicates).",NA,"2015"
"SRP037563",0,"2015-02-11","University of Bologna",NA,"LS454","454 GS FLX","INSTRUMENT_MODEL: 454 GS FLX","Zea mays Targeted Locus (Loci)",NA,"PRJNA237849",NA,"Bisulfite sequencing of Vgt1 locus",NA,"2015"
"SRP042317",0,"2015-12-03","Sichuan Agricultural University","Maize Research Institute","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays strain:B73 MO17 Transcriptome or Gene expression",NA,"PRJNA248701",NA,"Heterosis in early maize ear inflorescences development: A genome-wide transcription analysis in two maize inbred lines and its hybrids",NA,"2015"
"SRP045467",0,"2015-08-13","HMGU",NA,"LS454","454 GS FLX Titanium","INSTRUMENT_MODEL: 454 GS FLX Titanium","Rhizosphere Targeted Locus (Loci)",NA,"PRJNA258117",NA,"Identification of microorganisms (bacteria, fungi, protozoa) participating in a rhizodeposit-driven food web and investigation of their trophic interactions.",NA,"2015"
"SRP045766",0,"2015-08-26","Academia Sinica",NA,"LS454","454 GS Junior","INSTRUMENT_MODEL: 454 GS Junior","Rhizobacterial community of Zea mays",NA,"PRJNA259159",NA,"Rhizobacterial community of Zea mays",NA,"2015"
"SRP047449",0,"2015-07-17","GEO",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays Transcriptome or Gene expression",NA,"GSE61700",NA,"MicroRNAs (miRNAs) are a class of small, non-coding regulatory RNAs that regulate gene expression by guiding target mRNA cleavage or translational inhibition in plants and animals. At present there is relatively little information regarding the role of miRNAs in the response to drought stress in maize. In this study, two small RNA libraries were sequenced, and a total of 11,973,711 and 14,326,010 raw sequences were generated from growing leaves of drought-tolerant and drought-sensitive maize seedlings, respectively. Further analysis identified 192 mature miRNAs, which include 124 known maize (zma) miRNAs and 68 potential novel miRNA candidates. Additionally, 167 target genes (259 transcripts) of known and novel miRNAs were predicted to be differentially expressed between two maize inbred lines. Of these, three novel miRNAs were up-regulated and two were down-regulated under drought stress. The expression of these five miRNAs and nine target genes was confirmed using quantitative reverse transcription PCR. The expression of three of the miRNAs and their putative target genes exhibited an inverse correlation, and expression analysis suggested that all five may play important roles in maize leaves. Finally, GO annotations of the target genes indicated a potential role in photosynthesis, may therefore contribute to the drought stress response. This study describes the identification and characterization of novel miRNAs that are the differentially expressed in drought-tolerant and drought-sensitive inbred maize lines. This provides the foundation for further investigation into the mechanism of miRNA function in response to drought stress in maize. Overall design: This study describes the identification and characterization of novel miRNAs that are the differentially expressed in drought-tolerant and drought-sensitive inbred maize lines. This provides the foundation for further investigation into the mechanism of miRNA function in response to drought stress in maize.",NA,"2015"
"SRP049205",0,"2015-07-17","Facultad de Agronomia","Agricultural Microbiology","LS454","454 GS FLX Titanium","INSTRUMENT_MODEL: 454 GS FLX Titanium","Changes in the bacterial communities of subtropical soils from Argentina with different land uses.",NA,"PRJNA260275",NA,"The goal of this study was to analyze the modifications in the structure of the bacterial communities from Argentinean subtropical soils caused by changes in land use. The samples included soils from undisturbed forests and from sites that were deforested between 100 and 5 years ago and used for soybean or sugar cane cultivation. The changes in community structure were evaluated by 454 GS FLX high throughput sequencing of the 16S rRNA gene.",NA,"2015"
"SRP053009",0,"2015-07-17","ENCB-IPN-CINVESTAV","Soil Ecology","LS454","454 GS FLX Titanium","INSTRUMENT_MODEL: 454 GS FLX Titanium","Different agricultural practices amended with bean residues Metagenome",NA,"PRJNA274148",NA,"To investigate how different management practices affected the bacterial community structure in soil, ii) to investigate how the application of bean residue affected the bacterial community structure in soil with different agricultural practices and iii) compare the bacterial populations involved in the mineralization of bean residue with those when maize residue was applied to soil.",NA,"2015"
"SRP055529",0,"2015-03-18","Indiana University",NA,"LS454","454 GS FLX Titanium","INSTRUMENT_MODEL: 454 GS FLX Titanium","Root associated fungus metagenome Targeted Locus (Loci)",NA,"PRJNA276053",NA,"In this study, different cultivars of Bt and non-Bt maize were used to test the effects of maize genotype on the colonization ability and community diversity of arbuscular mycorrhizal fungi in roots under field conditions. Global food security requires understanding the ways in which natural soil communities can improve production of cultivated crops and the ways in which different plant genotypes may affect this symbiotic interaction.",NA,"2015"
"SRP056017",0,"2015-07-17","Sun Yat-Sen University",NA,"ILLUMINA","Illumina MiSeq","INSTRUMENT_MODEL: Illumina MiSeq","Maize Raw sequence reads",NA,"PRJNA277784",NA,"Maize endophyte microbiome",NA,"2015"
"SRP057474",0,"2015-05-02","Centro Regional de Estudios GenÃƒÂ³micos, Facultad de","Microorganism Metagenomics","LS454","454 GS FLX","INSTRUMENT_MODEL: 454 GS FLX","Metatranscriptome of field-collected Spodoptera frugiperda larvae guts from Tucuman province (Argentina)",NA,"PRJNA281666",NA,"The purpose of this study is to perform a comprehensive analysis which integrates Spodoptera frugiperda gene expression data with environmental information and taxa associated with S. frugiperda larvae guts. For this, total RNA extracted from field-collected S. frugiperda larvae guts, captured from different maize (Zea mays) fields and from Sorghum halepense in TucumÃƒÂ¡n province (Argentina), was submitted to sequence-independent amplification and high-throughput pyrosequencing. Due to the fact that total RNA was amplified using a modified sequence-independent amplification protocol and, for this, first-strand reverse transcription was initiated with a random octamer linked to a specific primer sequence, an unbiased random collection of transcripts was obtained for each sample.",NA,"2015"
"SRP060583",0,"2015-07-18",NA,NA,"LS454","454 GS FLX+","INSTRUMENT_MODEL: 454 GS FLX+","Crop Rotation Archaea Raw sequence reads",NA,"PRJNA289046",NA,"We investigated the impact of a crop rotation system (rice-maize) on the archaeal community in rice field soil",NA,"2015"
"SRP001013",0,"2014-05-30","Spanish National Center for Biotechnology - CSIC","Department of Microbial Biotechnology, Lab 215","LS454","454 GS FLX Titanium","INSTRUMENT_MODEL: 454 GS FLX Titanium","Analysis of rhizobacterial communities from different genetically modified plants",NA,"Herbicide treated Maize","2009-08-06","Analysis of rhizobacterial communities from different genetically modified plants",NA,"2014"
"SRP001092",0,"2014-05-26","University of Hawaii","G. Presting Lab","LS454","454 GS FLX","INSTRUMENT_MODEL: 454 GS FLX","Delineation of the functional centromeres of maize inbred B73",NA,"C515_SID3235_UHawaii_reads","2009-09-04","ChIP-Seq was used to delineate active centromeres on the maize ZmB73v1 reference genome.","Chromatin immunoprecipitation (ChIP) was performed as described in Nagaki et al. 2003 (PMID: 12618412) on Zea mays (maize) inbred B73 using maize anti-CENH3 antibody (PMID: 12417704) and pyrosequenced at 454 Life Sciences (http://www.454.com/).","2014"
"SRP001322",0,"2014-05-26","BCM",NA,"ILLUMINA","Illumina Genome Analyzer","INSTRUMENT_MODEL: Illumina Genome Analyzer","Burkholderia sp. SRMrh20 genome sequencing",NA,"IWG.BSRM","2009-10-27","<P><B><I>Burkholderia silvatlantica</I> SRMrh-20</B>. This strain was isolated from the rhizosphere of maize var. Avantis A2345, Rio de Janeiro, Brazil. This genome will be used for comparative analysis.",NA,"2014"
"SRP001722",0,"2014-05-26","GEO",NA,"ILLUMINA","Illumina Genome Analyzer II","INSTRUMENT_MODEL: Illumina Genome Analyzer II","Zea mays Transcriptome or Gene expression",NA,"GSE17339","2010-01-15","Small RNAs (21-24 nt) are pivotal regulators of gene expression that guide both transcriptional and post-transcriptional silencing mechanisms in diverse eukaryotes, including most if not all plants. MicroRNAs (miRNAs) and short interfering RNAs (siRNAs) are the two major types, both of which have a demonstrated and important role in plant development, stress responses and pathogen resistance. In this work, we used a deep sequencing approach (Sequencing-By-Synthesis, or SBS) to develop sequence resources of small RNAs from different maize tissues (including leaves, ears and tassels) collected from wild-type plants of the B73 variety. The high depth of the resulting datasets enabled us to examine in detail critical small RNA features as size distribution, tissue-specific regulation and sequence conservation between different organs in this species. We also developed database resources and a dedicated website (http://smallrna.udel.edu/) with computational tools for allowing other users to identify new miRNAs or siRNAs involved in specific regulatory pathways, verify the degree of conservation of these sequences in other plant species and map small RNAs on genes or larger regions of the maize genome under study. Overall design: Small RNA libraries were derived from leaves, ears and tassels of maize variety B73 (wild-type). Plants were grown in a flood irrigated plot at the University of Arizona (Tucson, AZ, USA) in 2007 and organs were pooled from several plants for each library. Young leaves were collected from 6-weeks-old seedlings. Post-meiotic immature ears were harvested from 10- and 11-week old plants while pre-meiotic tassels were collected from 8-week old plants. Total RNA was isolated using the Plant RNA Purification Reagent (Invitrogen) and submitted to Illumina (Hayward, CA, http://www.illumina.com) for small RNA library construction using approaches described in (Lu et al., 2007) with minor modifications. The small RNA libraries were sequenced with the Sequencing-By-Synthesis (SBS) technology by Illumina. PERL scripts were designed to remove the adapter sequences and determine the abundance of each distinct small RNA. We thank Lyudmila Sidorenko and Vicki Chandler for providing the plant material and Kan Nobuta for assistance with the computational methods.",NA,"2014"
